"","movie","rating","review_header","review"
"33","Dil Bechara",10,"Love U Charming Champ<U+0001F499><U+0001F499><U+0001F499><U+0001F60C>","I am crying Dude. Ye Apne accha nhi kiya avi bohot kuch dekhna baki tha what a brilliant Gem U R<U+0001F499><U+0001F499><U+0001F499><U+0001F60C><U+0001F60C><U+0001F60C><U+0001F60C>"
"34","Dil Bechara",10,"Wonderful performance...","Wonderful movie.. A must watch..
Wonderful starcast. No nepotism.
Amazing , realistic acting."
"35","Dil Bechara",10,"10 out of 10","Immanual Rajkumar Junior We love you sooo much. You will be remain in our heart forever."
"36","Dil Bechara",10,"awesome movie","Awesome awesome awesome.....i will loved this movie....no if no but...seriously this movie is love"
"37","Dil Bechara",10,"MISS YOU<U+0001F495>","It's was hard to watch through ...I just don't know what to say ....you will be missed ...love you forever <U+0001F495>"
"38","Dil Bechara",10,"U are the bruise time being the skin","Sushant singh rajputs last film.. The best one.. This one deserves record breaking ratings... I loved this film.. Did u? ... Dil bechara <U+2764>"
"39","Dil Bechara",10,"JUST AMAZING (ONE OF THE BEST MOVIE)","I just don't have words for this beautiful and amazing movie and I watched fault in our stars long back so I could relate even more. This is the first time me writing a review for any movie because I think he deserves it the most. The movie is AMAZING , prepare some napkins for tears. We will miss you Sushant."
"40","Dil Bechara",10,"For Sushant Singh Rajput","Watching you for the last time, and the emotional appeal this movie has , it will take some time to overcome. It's a request to everyone to watch this movie for our hero.I will make sure that I complete at least five of your dreams which you were unable to complete, and will make sure that you will be remembered forever even by the next generation.Sushant Singh Rajput you will be missed dear, I hope you would have been alive today and could able to see this much of love for you by whole country."
"41","Dil Bechara",10,"There was no fault in this star","How ironic it is that dil bechara is remake of Fault in our stars . These faults took you away from all of us shushant .
Last 13 minutes were so emotional as if we were living your last moments with us . I wish you were here . You ll be missed shushant .May you find peace where ever you are ."
"42","Dil Bechara",10,"Must Must Watch Movie !!","Gave 10 on 10 !! But this movie ie beyond any stars ... You can't simply rate this movie by giving stars... Last half an hour - sala dil nikaal k rakh diya !! Truly amazing acting by my best actor hero Sushant Singh Rajput"
"43","Dil Bechara",10,"We want you to come back","Every scene was fantastic. I can recall each moment of the movies.
That tears, smile and feeling of losing someone.
It is awesome one to watch.
Hats off Man"
"44","Dil Bechara",10,"LOVED THIS MOVIE!","This movie is full of love and emotions! The storyline is really good and it deserves all awards. Highly recommend!"
"45","Dil Bechara",10,"Best movie of sushant","It is the best movie of sushant singh .it is really a good movie.all should watch it"
"46","Dil Bechara",10,"Emotional journey","Journey of life love emotions well showed n beautifully acted by most loved actor ever SSR....will miss him more"
"47","Dil Bechara",10,"Brilliantly Poignant","The headings says it all. Top notch performance by entire cast and Sushant will be missed more. A reminder to all of us that what a gifted and versatile actor SSR was. Saif is great as well."
"48","Dil Bechara",10,"Brilliant movie !! Its hard to differentiate between his actual life and reel life","One of the best definitely! He evolved himself immensely, and it seemed he lived his complete life in this movie. A must watch for everyone"
"49","Dil Bechara",10,"Nice movie","Tribute to sushant singh rajput..!!
Nice movie..!! Movies location was very good..!!"
"50","Dil Bechara",10,"Wonderful Movie","It's an awesome movie to watch as a story, loved to watch SSR acting and comic timing."
"51","Dil Bechara",10,"Fabulous","""Life is incomplete and we cant decide when to live and die but we can decide how to live""
Awesome storyline"
"52","Dil Bechara",10,"Absolutely a guy wrenching movie","Wonderful sendoff for dad it's a very wonderful film about live the life to fullest live u ssr"
"53","Dil Bechara",10,"Not enough words to describe..","Such an amazing movie... Left us all speechless..
You will be in our hearts forever... Sushant"
"54","Dil Bechara",10,"Touching and Must Watch...!!! <U+0001F60D>","One of the best romance movies I have ever seen. Sushant's expression in every part was so realistic and I'm sure this can make everyone emotional. <U+0001F62D>"
"55","Dil Bechara",10,"Most amazing movie ever made.","This is hands down the best romantic movie ever made."
"56","Dil Bechara",10,"Must Watch Movie","What a movie!!!. Simply I can't explain here. Every scene of this movie made me cry and its like a real everything is like a real. Never felt this much emotional while watching movie."
"57","Dil Bechara",10,"Really Just Love it and Sushant Singh Rajput","Really just love it...it's really sad and awesome story and acting is really Great By Superstar Late Sushant Singh Rajput..we will miss you bro Always...Sanjana sanghi our Kizzie basu...Seri Kizzie basu.."
"58","Dil Bechara",10,"Really a good film.","Really a must watch for all of the so called Bollywood mafia who dont deserved to be credited of anything. Really cant digest the fact that Sushant Singh Rajput is not with us anymore especially after watching this movie! RIP SUSHANT SINGH RAJPUT.........."
"59","Dil Bechara",10,"Masterpiece! Sushant You nailed it in the end!","This movie is so touching and with some special magical movments that can give you the best feelings of life. I think sushant nailed it and the end! And it is an indian legecy just like heath ledger in different type. SUSHANT ! We know your end was sad but this movie will keep you alive forever! The concept the direction and the story is really mind blowing"
"60","Dil Bechara",10,"Emotional Roller !!","This is much more than a movie . It's an emotional rollercoaster . The music is perfect to the varied emotions one goes through in this journey :)"
"61","Dil Bechara",10,"Its sushant ... I wish he was alive to see how much people love him","I wish we showed him how much we loved him when he was alive .."
"62","Dil Bechara",10,"Shush bhai had shown his acting is marvelous","Every character has gabe well performances.sound is good but little bit improve is gave more creditiblity!!Bu d way all is fine. Mukesh bhai's direction such a gem, i hv no words. Dialogue, lyrics such a give goosebumps.Sorry if i hurt you."
"63","Dil Bechara",10,"Beautiful","Crying my heart out...wrenched out emotions out of me that I did not even know existed.."
"64","Dil Bechara",10,"Broken","Speechless !!!Emotional !!Love You SSR :)"
"65","Dil Bechara",10,"A well deserved end to a journey","Sushant was filled in every frame of movie. Sanjana too portrayed her part brilliantly, just can't ignore the supporting cast's performance. Wish if this was not his last movie."
"66","Dil Bechara",10,"Sushant Singh Rajput was a legend, a hero of mine.","Sushant Singh Rajput was a legend in my opinion, Classic. He was one of the best finds that has come along in a long time.
Never felt so emotional watching a film!
Dil Bechara- A Perfect Tribute!
Keep shining from up above, The world needs your light! Seri? <U+2764>"
"67","Dil Bechara",10,"The best one","Loved the movie still can't believe that ur gone ...the dialogue I want to attend my funeral. Made me cry <U+0001F622># god make justice for shushant <U+0001F64F># punish the culprits wth the worst death#I pray <U+0001F64F>"
"68","Dil Bechara",10,"Man Of Million Hearts","So Relatable..SSR<U+0001F496>
As we love you,so we miss you..In our memories..you are always near
Dil bechara...From ONE LAST TIME to ONE MORE TIME..RETURN IF POSSIBLE"
"69","Dil Bechara",10,"Beautiful simplicity with a known but ignored perception of life","This movie was a emotionally connected...But Sushant Singh Rajput delivered and made upto the expectations.Always immortal brother."
"70","Dil Bechara",10,"Heart touching","Love you and will Miss You Sushant, may your Soul Rest in Peace"
"71","Dil Bechara",10,"Excellent work","This movie made me cry. You are always being missed SSR."
"72","Dil Bechara",10,"Sushant Lives","This movie just shows what did we lose. What an amazing performance by shushant. Watched the movie with Heavy Heart.. We will miss you Sushant"
"73","Dil Bechara",10,"What a movie!","Even after watching Fault in our stars.. knowing the whole set, still this movie made a impression. I forgot the original one"
"74","Dil Bechara",10,"Sushant Rocks","Awsome movie...Sorry Sushant we failed to give you the well deserved appreciation for this...You might be so happy.."
"75","Dil Bechara",10,"soulful movie to watch","It make you realize importance of your life, loved ones. Sushant was mindblowing and it doesn""t look like its Sanjana first movie she is act so well. Loved it. WE Miss You SSR."
"76","Dil Bechara",10,"Do not miss this movie...Worth the watch","Both the actors have played their characters to their best. Last 20 mins of movie made me very emotional...He was one of the finest actor we had and we miss him now #SSR... The way he listened to his own eulogy in the movie made me feel , was he aware that it would be his last movie...? Apart from being SSR fan , movie is worth watch whether one is SSR fan or not ...Happy watching..."
"77","Dil Bechara",10,"Masterpiece","Full and full the film made me cry....upto the life ends no one should forgot Sushant because of his smile.....In this film wherever I saw his smile ....I started crying....I have no words to say about this film ....because the film is masterpiece and remembrance of Sushant......"
"78","Dil Bechara",10,"One last time","Omg omg omg
Such a wonderful movie with such a good act.
SSR will always be remembered through our life."
"79","Dil Bechara",10,"A Tight slap to many bolly mafia","Tribute to SSR...we will always miss you...You will always be in our heart...a review from one of your fan from your very own city Patna"
"80","Dil Bechara",10,"Fantastic","Brilliant ! Gem you will be missed ... This movie make really make me cry !!!"
"81","Dil Bechara",10,"MISS YOU SSR","What an up to the mark movie
The movie is excellant above its expectation
Great work by all actors
You will be always missed SSR"
"82","Dil Bechara",10,"SSR in our hearts Forever <U+0001F495>","Hearttouching and heartbreaking to see him in pain <U+0001F62D><U+2764>ocean of emotions"
"83","Dil Bechara",10,"Love for SSR","You will always be in our memories Sushant. In whichever world you are, stay happy.. lots of love."
"84","Dil Bechara",10,"A Mesmerizing Movie With Flawless Acting and Expressions of Sushant.","Started Watching the Movie with heavy heart since it is the Last movie of Sushant but I was so amazed by the performances by whole cast. The Cinematography is great. The debutant Director did pretty good job. The songs by AR Rehman Sir is so melodious that I will listen it 50 times a day and still not get bored. And One Thing more Specific I would like to say that this movie is an example of how you make a Remake with same level of performances in both Remake and Original movie. This is how you do justice to Original Movie. This is how a Remake should be made. Now I would like to say something about Sushant. Brother I will really miss you there were lots of moments in the movie where I was getting goosebumps along with tears in my Eyes. Now also while writing this review my eyes is moist with tears.. I hope you are more successful and loved by everyone in a parallel universe. Love you FOREVER."
"85","Dil Bechara",10,"Best movie of 2020","One of the best movie of great Star Sushant Singh Rajput. His acting looks so real. The best movie. I feel like crying while watching. Its a must watch."
"86","Dil Bechara",10,"For one last time","Yess i loved the movie i will miss this guy for forever...<U+0001F62D><U+0001F62D><U+0001F62D>"
"87","Dil Bechara",10,"One last time.....!","Sometimes it's good to be biased. Forget about everything .. ratings ... reviews... just watch it ."
"88","Dil Bechara",10,"Critics won't rate this movie!!","Spectacular performance by Sushant and the rest of the cast. Enjoyed Sushant's soulful acting and the overall direction of the movie. Saif shines in his friendly appearance. It's a shame that somebody with the calibre of Sushant had to die to prove his mettle. It's a wake up call for all viewers to value real content instead of chasing old daddies of bollywood blindly.Critics also need to cautious of their words. While they have every right to share their opinions, they should not put actors under severe pressure by throwing insulting words.A must watch movie, which should not be reviewed by any newspaper or a movie magazine critics. This time, let the audience and just audience speak."
"89","Dil Bechara",10,"Great movie.","It's really great movie. You will definitely cry watching it. We will miss you Sushant."
"90","Dil Bechara",10,"Loved you SSR!!!","Its great feeling to see Sushant Singh Rajput's smile and charming face. I notice only SSR face & smile in movie. Final good bye to SRS."
"91","Dil Bechara",10,"Abood","Good movie and the music is good to and good acting"
"92","Dil Bechara",10,"Best","One of the best movie
music is <U+0001F49D><U+0001F49D><U+0001F49D><U+0001F49D><U+0001F49D><U+0001F49D>
SSR<U+0001F5A4>
Amazing
Fantastic
Heartwarming
I cried after long time"
"93","Dil Bechara",10,"<U+2764><U+2764><U+2764><U+2764><U+2764>SSR","<U+2764><U+2764><U+2764><U+2764><U+2764><U+2764><U+2764>
Superb..performer...good human being..miss u Bro..<U+0001F339><U+2764><U+2764><U+2764><U+0001F64F><U+0001F64F><U+0001F64F>"
"94","Dil Bechara",10,"10/10 hit... Movie full of glory","Act preformance Of SSR is beyond wordsA lovely tribute to SSR we love u SSR"
"95","Dil Bechara",10,"Absolute blunder.","You made everyone cry SSR.And Sanjna sanghi also did excellent."
"96","Dil Bechara",10,"Daily in our stars ...","This is very good remake of one of the best movie. Sushant and Sanjana hats off, very good acting."
"97","Dil Bechara",10,"Love is important...","When love & skills work together, expect a brilliance."
"98","Dil Bechara",10,"Heart touching Movie","Sushant singh rajput you'll always going to be in our heart through this last film. Heart touching movie and flaunt acting you did. Just missed to get watched it in theaters but happy to have you in our heart sushant. Awesome movie, my eyes felt with tears. Must watch movie guys."
"99","Dil Bechara",10,"Best movie of 2020 miss you ssr","Best movie best screen play best dialogue best performance by ssr"
"100","Dil Bechara",10,"Ssr","Speechless. Every moment hits on heart.It is hard to believe that you are not here."
"101","The Kissing Booth 2",5,"Predictable","I basically predicted the entire movie after 10 Minutes."
"102","The Kissing Booth 2",1,"Awful","Firstly why was this 2 hours long??? Secondly why was it that bad, but ended on such a cliff hanger??My advise would be give this one a miss..."
"103","The Kissing Booth 2",5,"Just another typical Netflix romance movie...","This may be shocking for you, but I actually found the first movie of this franchise quite enjoyable. However, in the sequel, The Kissing Booth loses all of its quirky charms, which replaced by factors that makes a typical Netflix coming of age romance movie, cliche and predictable."
"104","The Kissing Booth 2",NA,"Cringy, Awkward and Childish","2 <U+2B50>'sThe first one was cute because Joey and Jacob were in love on camera so the movie was kind of magical.This one was so bad. They were so awkward around each other, even 'by the phone', it was hard to watch. Their interaction were just too cringy and uncomfortable.The plot was meh. The love triangle or square was done horribly.The 2 <U+2B50>'s were for Joey and Joel, they were awesome together. They should have gone to that direction aka best friends to lovers. It would have been much nicer."
"105","The Kissing Booth 2",8,"Enjoyable","The movie is what it's suppose to be. I wasn't disappointed by it. I had a good time while watching. Might feel a bit unreal, but it's a teenager movie and it's amusing and shows that sometimes people have a hard time communicate but in the end they manage to solve their issues by doing it. Think it was a bit better than the first, and the fact it add other people and stories in between, wasn't at all a problem to me, it was better that way. There was more to see, instead of just focusing on Lee, Elle and Noah.
I really think people shouldn't be bashing the movie over a bad line in it.
It wasn't their brightest moment, but don't think it was on purpose, people are just taking it way too serious. Nowadays everyone mocks with everything and do a lot worse, so I really don't think there is a reason to be bashing the movie this way."
"106","The Kissing Booth 2",1,"Waste of time","The script was terrible, it was a waste of time. I can't believe Netflix even decided to waste a penny on this movie. If you're planning on watching this don't. Acting is cringe and the main couple have no chemistry between the two of them. It's just awful all around."
"107","The Kissing Booth 2",4,"It's Still Bad","But it's better than first. It's not as annoying. I still hate Elle Evans as a character though. The screenplay is bad and incredibly predictable. The main conflict is uninteresting. The gay subpolt is nice because it involves characters that aren't Elle, but they didn't really find a way to make it work so it felt really unnecessary. It was like Netflix's usual thing for including random gay characters just to prove that they're inclusive too guys. Also why does this movie have a Good Vibrations cover play at the end, that song is way too good for this trash."
"108","The Kissing Booth 2",10,"Better than the first","Very pleasantly surprised by how much I liked this movie more than the original! Usually that's not the case. But the acting felt more authentic and less cheesy in this one. Loved it! Very fun summer flick"
"109","The Kissing Booth 2",1,"waste of time","The first movie was already bad enough but I decided to give the 2nd movie a try but unfortunately it is even worse. completely wasted an hour of my life that I can never get back."
"110","The Kissing Booth 2",1,"Watched it ironically with friends to make fun of it. We are traumatised.","Full of cliches, devoid of plot or character development, and absolutely no message for teens! This movie has nothing to offer unless you want to take a shot every time someone says something cringey or does something cringeworthy."
"111","The Kissing Booth 2",NA,"IMO: better than the first.","I wasn't sure if I was going to like this one. I know it's based off of book 2 by Beth Reekles. I know the critics won't agree with me. But this seemed slightly more mature. It's YA based obviously, don't expect an adult tale. And it still maintained the spirit of the first one. Don't believe me, watch it. No spoilers in this review."
"112","The Kissing Booth 2",3,"Still bad","I didn't like the first one very much, but watched the second one anyway (my fault I guess!) I hoped it would be better but is dumb, too long (over 2 hours!) and very predictable. There was also possibly the cringiest sentence ever uttered in a romcom EVER! I'll probably still watch the 3rd one when it comes out, but only because I really hope Elle and Lee will FINAL realise how PERFECT they together as they have the best chemistry by far."
"113","The Kissing Booth 2",10,"Good movie","Those who love romantic movies it's the best choice for them and a must watch movie.Best to watch at quarantine."
"114","The Kissing Booth 2",10,"Loved it <U+2764>","Really enjoyed the first movie so I was expecting the same for the second, REALLY HAPPY. Such a good feel good film, actors are perfect for the movie. Cant wait for the 3rd<U+2764>"
"115","The Kissing Booth 2",10,"Another one please!","Liked how they didn't just do a repeat of the first one but really incorporated new plots and characters into the movie and also didn't make it 100% foreseeable. Worth watching and hope there will be a 3rd movie!"
"116","The Kissing Booth 2",10,"Definitely Worth a watch","Well, To be honest both the parts are nice. But, The second part will give you a emotional rollercoaster ride (be ready to take the ride while watching the movie :) ). It's way better in all perspectives. You'll definitely love the movie. Expecting for third part soon!"
"117","The Kissing Booth 2",10,"A very satisfying follow up","The sequel is amazing! There are so many twists and turns and you really don't know if Elle is gonna end up with Marco or Noah. There are some side stories that make you smile and the overall story is just amazing. Worth the whole 2+ hours. I WANT A 3rd one!"
"118","The Kissing Booth 2",6,"WATCH THE FILM FOR YOURSELF BEFORE COMMENTING STAN TWITTER DRAMA!","In all honestly, I know a ton of people from stan twitter are gonna come after a lot of people for reviewing this and not like what I have to say, but this is an honest review section that doesn't apply to their online platform. Caution SLIGHT SPOILER: Yes, there is one very brief scene where a distasteful joke is made about Bieber's appearance from the time he was suffering from lyme disease (an onstage amateur comedian calls out his ""trucker look""). It's a cheap shot at comedy, but not as offensive as they are making it out to be, plus it doesn't draw out and is said in a light fashion, but the scene itself is said in a stand-up comedy bar, which are KNOWN for being offensive and pushing boundaries. They are not meant to appease you or make you comfortable, its meant to be controversial and they target every person regardless of their circumstance, it's not an isolated occasion for Bieber. It's been done for literal years and it's stupid that people are flipping out over it even to the point of harassing people who weren't involved, yes seriously, people are that obsessed. It's amazing that in a film like this that carries misogynistic messages for its young viewers that people would be the most upset over this trivial thing. Mind you this was part of a montage scene so it only appears for less than TWO SECONDS and is a throwaway line so I have no idea why people are so pressed. Just because it's making fun of bieber do people (especially fangirls) feel the need to be angry about it, and no even if he was a woman (like one ""review"" stated, there would not be outrage like this), remember Britney and Lindsey in 2007? No one sticking up for them when they clearly had drug and mental health problems, these people are just hypocrites who like to complain because they are obsessed with a celebrity who doesn't know they exist. Just keep this in mind before you choose to watch or not because it is ridiculous to boycott a film like this just because you get ""offended"" over a joke that doesn't add or impact the storyline. Wish people would think for themselves and not just listen to everything twitter tells them.
Anyway, the film itself is definitely an improvement from the last one, the storyline is more compelling and the acting was definitely better, but somehow is slightly more cringey in many aspects and I think the Kissing booth theme is kind of irrelevant for this plot and left messy at the end."
"119","The Kissing Booth 2",10,"Good job!","Much better than the first movie, dynamics in story keep you going, set designs are amazing and actors are so much more refined. The story lines are great, except Ollie's storyline was either written or portrayed badly (not sure which might also just be how it was edited) but it was kinda hard to watch with these random scenes that didn't sit as well in the story as the first movie. But all in all, great movie, definitely recommended"
"120","The Kissing Booth 2",1,"unbelievable","Made fun of Justin Bieber and called him names when he was struggling w/ depression and lyme disease."
"121","The Kissing Booth 2",1,"Somehow worse than the first","At least the first one was fun to laugh and how bad it was. This one is just boring"
"122","The Kissing Booth 2",10,"Good Job!!!!","I thought that The Kissing Booth and The Kissing Booth 2 are really good movies. They are probably my favourite movies out in the filming industry. They made me cry happy tears and the acting looked so realistic that it could happen to you in real life. I really think that their should be a Kissing Booth 3 because there is going to be a To All the Boys I've Loved Before 3."
"123","The Kissing Booth 2",5,"Better than the first one, but far from perfect","I'll be honest; I went into The Kissing Booth 2 expecting it to be terrible. Instead, I got a movie that was better than the original, although that isn't saying much. It is the rare sequel that is stronger than the original, and I was pretty interested in it throughout. Elle makes some smart decisions in this movie, and each one of them is really satisfying to watch (especially tricking Marco into playing that dance game). The Elle in the original Kissing Booth wouldn't have done that, and it's nice to see how she's grown as a character. Additionally, it was hard to see where the plot was going. I never really could predict what would happen between Elle and Marco, or Elle and Noah for that matter. These are some of the things for this movie that I liked.My biggest problem with the film is that it has a terrible message for young women. Basically, Elle learns to... live for others instead of herself. Excuse me? Are you really trying to posit that a women should not' be herself, and be whatever other people want from her? It was honestly kind of disgusting. Secondly, the fact that pretty much all the people of color in this movie are disliked by the main character throughout most of the movie is also worrisome. Like yeah, eventually she warms up to them, but we still have to sit through two hours of her being suspicious of Chloe, and being annoyed with Marco. Thirdly, the characters did make some pretty stupid decisions often. For example. there's a really tiny subplot involving a guy who secretly likes another guy, but he doesn't know how to tell him. I knew from the first moment I saw them that he was romantically interested in him. However, it takes Elle way too long to figure this out, even though it was extremely obvious. These aren't all my problems with the movie, but these are just some of my biggest ones.Overall, I enjoyed the Kissing Booth 2. It was really, really flawed, but at the end of the day it's still fun. If you are feeling down, watch this movie to bring you back up."
"124","The Kissing Booth 2",9,"Drama Lama","This is a cheesy rom com movie and thats exactly why i like it. It has the romance, the drama and the friendship.
Elle' and Lee's friendship is amazing and i love it. My name is also Rachel and to be honest i really related to her haha.
Overal great movie with what you could expect."
